book_id,title,author,isbn,category,language,publisher,published_year,shelf_location,is_available,status,copies
1,The Lord of the Rings,J.R.R. Tolkien,9780618640157,Fantasy,English,Houghton Mifflin,1954,D8,No,Damaged,4
2,To Kill a Mockingbird,Harper Lee,9780061120084,Fiction,English,J.B. Lippincott & Co.,1960,D1,No,Active,1
3,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,A8,Yes,Damaged,2
4,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,E6,No,Damaged,7
5,The Lord of the Rings,J.R.R. Tolkien,9780618640157,Fantasy,English,Houghton Mifflin,1954,E10,No,Lost,3
6,To Kill a Mockingbird,Harper Lee,9780061120084,Fiction,English,J.B. Lippincott & Co.,1960,C9,No,Damaged,5
7,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,B10,Yes,Lost,1
8,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,A10,Yes,Active,3
9,Moby-Dick,Herman Melville,9781503280786,Fiction,English,Harper & Brothers,1851,D8,No,Damaged,5
10,War and Peace,Leo Tolstoy,9781400079988,Historical Fiction,English,The Russian Messenger,1869,E6,Yes,Damaged,2
11,To Kill a Mockingbird,Harper Lee,9780061120084,Fiction,English,J.B. Lippincott & Co.,1960,C5,Yes,Damaged,9
12,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,A6,No,Damaged,5
13,Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,Fantasy,English,Scholastic,1997,E2,Yes,Active,6
14,Moby-Dick,Herman Melville,9781503280786,Fiction,English,Harper & Brothers,1851,D3,Yes,Lost,3
15,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,E6,No,Lost,6
16,The Lord of the Rings,J.R.R. Tolkien,9780618640157,Fantasy,English,Houghton Mifflin,1954,E8,No,Lost,8
17,War and Peace,Leo Tolstoy,9781400079988,Historical Fiction,English,The Russian Messenger,1869,C8,Yes,Lost,6
